players_name,batting_style,bowling_style,country,primary_role,is_caption,is_opener,is_finisher,is_death_bowler,legacy_teams_tag,player_status_tag,total_matchs_played,cap_winner,award_winner,is_man_of_the_match
Virat Kohli,right-hand,,Indian,batsman,true,true,false,false,RCB,active,252,orange,true,true
MS Dhoni,right-hand,,Indian,wk,true,false,true,false,CSK,active,264,,true,true
Rohit Sharma,right-hand,offbreak,Indian,batsman,true,true,false,false,MI,active,257,orange,true,true
AB de Villiers,right-hand,,Overseas,batsman,false,true,true,false,RCB,retired,184,orange,true,true
Chris Gayle,left-hand,offbreak,Overseas,batsman,false,true,true,false,RCB,retired,142,orange,true,true
David Warner,left-hand,,Overseas,batsman,true,true,false,false,SRH,active,187,orange,true,true
Suresh Raina,left-hand,,Indian,batsman,true,false,true,false,CSK,retired,216,,true,true
Andre Russell,right-hand,pace,Overseas,all-rounder,false,false,true,true,KKR,active,132,purple,true,true
Jasprit Bumrah,right-hand,pace,Indian,bowler,false,false,false,true,MI,active,142,purple,true,true
Rashid Khan,right-hand,legbreak,Overseas,bowler,false,false,false,true,GT,active,134,purple,true,true
KL Rahul,right-hand,,Indian,batsman,true,true,false,false,LSG,active,143,orange,true,true
Hardik Pandya,left-hand,pace,Indian,all-rounder,true,false,true,true,MI,active,123,,true,true
Sunil Narine,left-hand,offbreak,Overseas,bowler,false,false,false,true,KKR,active,182,purple,true,true
Shikhar Dhawan,left-hand,,Indian,batsman,true,true,false,false,PBKS,retired,222,orange,true,true
Dinesh Karthik,right-hand,,Indian,wk,true,false,true,false,RCB,active,259,,true,true
Bhuvneshwar Kumar,right-hand,pace,Indian,bowler,true,false,false,true,SRH,active,182,purple,true,true
Piyush Chawla,left-hand,legbreak,Indian,bowler,false,false,false,false,MI,active,191,,true,true
Ambati Rayudu,right-hand,,Indian,batsman,true,false,true,false,CSK,retired,228,,true,true
Ravindra Jadeja,left-hand,spin,Indian,all-rounder,true,false,true,false,CSK,active,226,,true,true
Faf du Plessis,right-hand,,Overseas,batsman,true,true,false,false,RCB,active,132,orange,true,true
Quinton de Kock,left-hand,,Overseas,wk,true,true,false,false,LSG,active,118,,true,true
Trent Boult,left-hand,pace,Overseas,bowler,false,false,false,true,RR,active,104,purple,true,true
Yuzvendra Chahal,left-hand,legbreak,Indian,bowler,false,false,false,false,RR,active,159,purple,true,true
Kieron Pollard,right-hand,pace,Overseas,all-rounder,false,false,true,false,MI,retired,204,,true,true
Glenn Maxwell,right-hand,offbreak,Overseas,batsman,false,true,true,false,RCB,active,139,,true,true
Muttiah Muralitharan,right-hand,offbreak,Overseas,bowler,false,false,false,false,CSK,retired,66,,true,true
Zaheer Khan,right-hand,pace,Indian,bowler,true,false,false,true,MI,retired,121,purple,true,true
Ravichandran Ashwin,left-hand,offbreak,Indian,bowler,true,false,false,false,CSK,active,226,,true,true
Brendon McCullum,right-hand,,Overseas,batsman,true,true,false,false,KKR,retired,109,orange,true,true
Gautam Gambhir,left-hand,offbreak,Indian,batsman,true,true,false,false,KKR,retired,152,,true,true
Robin Uthappa,right-hand,,Indian,batsman,false,true,true,false,KKR,retired,182,,true,true
Harbhajan Singh,right-hand,offbreak,Indian,bowler,true,false,false,false,MI,retired,167,,true,true
Lasith Malinga,right-hand,pace,Overseas,bowler,false,false,false,true,MI,retired,122,purple,true,true
Ajinkya Rahane,right-hand,offbreak,Indian,batsman,true,true,false,false,RR,active,183,,true,true
Ishan Kishan,left-hand,,Indian,wk,false,true,false,false,MI,active,105,,true,true
Mayank Agarwal,right-hand,,Indian,batsman,false,true,false,false,PBKS,occasional,127,,true,true
Moeen Ali,right-hand,offbreak,Overseas,all-rounder,false,false,true,false,CSK,occasional,65,,true,true
Deepak Hooda,right-hand,legbreak,Indian,all-rounder,false,false,true,false,LSG,active,89,,true,true
Marcus Stoinis,right-hand,pace,Overseas,all-rounder,false,false,true,true,LSG,active,108,,true,true
Kagiso Rabada,left-hand,pace,Overseas,bowler,false,false,false,true,DC,active,98,purple,true,true
Varun Chakravarthy,right-hand,legbreak,Indian,bowler,false,false,false,false,KKR,active,73,purple,true,true
Shreyas Iyer,right-hand,legbreak,Indian,batsman,true,false,false,false,KKR,active,97,,true,true
Nitish Rana,left-hand,offbreak,Indian,batsman,false,true,false,false,KKR,active,104,,true,true
Washington Sundar,right-hand,offbreak,Indian,all-rounder,false,false,false,false,SRH,active,76,,true,true
Rahul Tewatia,left-hand,legbreak,Indian,all-rounder,false,false,true,false,GT,active,78,,true,true
Nicholas Pooran,left-hand,,Overseas,wk,false,false,true,false,LSG,active,82,,true,true
Tim David,right-hand,,Overseas,batsman,false,false,true,false,MI,active,45,,true,true
Rishabh Pant,left-hand,,Indian,wk,true,true,true,false,DC,active,111,,true,true
Axar Patel,left-hand,offbreak,Indian,all-rounder,true,false,false,false,DC,active,127,,true,true
Mandeep Singh,right-hand,,Indian,batsman,false,true,false,false,PBKS,retired,120,,true,true
Manish Pandey,right-hand,offbreak,Indian,batsman,false,true,false,false,SRH,active,171,,true,true
Parthiv Patel,left-hand,,Indian,wk,true,true,false,false,RCB,retired,130,,true,true
Vinay Kumar,right-hand,pace,Indian,bowler,false,false,false,true,RCB,retired,123,,true,true
Anil Kumble,right-hand,legbreak,Indian,bowler,true,false,false,false,RCB,retired,17,,true,true
Chris Morris,right-hand,pace,Overseas,all-rounder,false,false,true,true,RR,retired,76,,true,true
Pat Cummins,right-hand,pace,Overseas,bowler,true,false,false,true,SRH,active,64,purple,true,true
Lockie Ferguson,right-hand,pace,Overseas,bowler,false,false,false,true,GT,active,55,purple,true,true
Adam Zampa,right-hand,legbreak,Overseas,bowler,false,false,false,false,RR,active,28,,true,true
Jofra Archer,right-hand,pace,Overseas,bowler,false,false,false,true,RR,occasional,34,,true,true
T Natarajan,left-hand,pace,Indian,bowler,false,false,false,true,SRH,active,59,,true,true
Sandeep Sharma,right-hand,pace,Indian,bowler,false,false,false,true,RR,active,112,,true,true
Umesh Yadav,right-hand,pace,Indian,bowler,false,false,false,true,GT,active,148,,true,true
Mohammed Shami,right-hand,pace,Indian,bowler,false,false,false,false,GT,active,69,,true,true
Arshdeep Singh,left-hand,pace,Indian,bowler,false,false,false,true,PBKS,active,71,,true,true
Harshal Patel,right-hand,pace,Indian,bowler,false,false,false,true,RCB,active,109,purple,true,true
Avesh Khan,right-hand,pace,Indian,bowler,false,false,false,true,RR,active,52,,true,true
Akash Deep,right-hand,pace,Indian,bowler,false,false,false,false,RCB,active,23,,false
Mukesh Kumar,right-hand,pace,Indian,bowler,false,false,false,false,DC,active,21,,false
Shardul Thakur,right-hand,pace,Indian,all-rounder,false,false,false,true,CSK,active,85,,true,true
Deepak Chahar,right-hand,pace,Indian,bowler,false,false,false,true,CSK,active,78,,true,true
Matheesha Pathirana,left-hand,pace,Overseas,bowler,false,false,false,true,CSK,active,29,,true,true
Mustafizur Rahman,left-hand,pace,Overseas,bowler,false,false,false,true,CSK,active,35,,true,true
Josh Hazlewood,right-hand,pace,Overseas,bowler,false,false,false,true,RCB,active,32,,true,true
Mitchell Starc,left-hand,pace,Overseas,bowler,false,false,false,true,KKR,active,37,,true,true
Alzarri Joseph,right-hand,pace,Overseas,bowler,false,false,false,true,RCB,active,22,,false
Ravi Bishnoi,right-hand,legbreak,Indian,bowler,false,false,false,false,LSG,active,40,,true,true
Akeal Hosein,left-hand,left-arm spin,Overseas,bowler,false,false,false,false,MI,active,12,,false
Noor Ahmad,left-hand,left-arm spin,Overseas,bowler,false,false,false,false,GT,active,18,,false
R Sai Kishore,left-hand,left-arm spin,Indian,bowler,false,false,false,false,GT,active,15,,false
Abdul Samad,right-hand,,Indian,batsman,false,false,true,false,SRH,active,32,,false
Abdul Shakeel,right-hand,,Indian,batsman,false,true,false,false,DC,active,8,,false
Abhinav Manohar,right-hand,,Indian,batsman,false,false,true,false,LSG,active,14,,false
Abolfazl Ahmadi,right-hand,,Overseas,batsman,false,true,false,false,KKR,active,5,,false
Adam Milne,right-hand,pace,Overseas,bowler,false,false,false,true,RCB,occasional,29,,true,true
Aiden Blizzard,left-hand,,Overseas,batsman,false,true,false,false,CSK,retired,13,,false
Aiden Markram,left-hand,offbreak,Overseas,batsman,true,true,false,false,SRH,active,37,,true,true
Ajit Agarkar,right-hand,pace,Indian,bowler,true,false,false,false,MI,retired,17,,true,true
Akash Ambani,right-hand,,Indian,batsman,false,false,false,false,MI,active,2,,false
Akash Singh,left-hand,pace,Indian,bowler,false,false,false,false,RR,active,3,,false
Akash Vasisht,right-hand,legbreak,Indian,bowler,false,false,false,false,RCB,active,1,,false
Albie Morkel,left-hand,pace,Overseas,all-rounder,false,false,true,true,CSK,retired,29,,true,true
Alec Wilderspoon,right-hand,pace,Overseas,bowler,false,false,false,false,DC,active,7,,false
Alex Hales,right-hand,,Overseas,batsman,false,true,false,false,MI,occasional,16,,true,true
Alex Thomson,right-hand,offbreak,Overseas,bowler,false,false,false,false,RR,active,4,,false
Alfonso Turner,right-hand,,Overseas,batsman,false,true,false,false,GT,active,6,,false
Alok Joshi,right-hand,offbreak,Indian,bowler,false,false,false,false,DC,active,2,,false
Alpesh Ramjani,right-hand,left-arm spin,Indian,all-rounder,false,false,false,false,LSG,active,9,,false
Aman Khan,right-hand,pace,Indian,all-rounder,false,false,true,true,MI,active,22,,true,true
Amanpreet Singh,right-hand,,Indian,batsman,false,false,true,false,PBKS,active,5,,false
Amarjit Kaypee,right-hand,,Indian,batsman,false,true,false,false,DC,retired,14,,false
Amanjot Kaur,right-hand,,Indian,batsman,false,false,true,false,PBKS,active,12,,false,false
Amanpreet Singh,right-hand,,Indian,batsman,false,true,false,false,PBKS,active,5,,false,false
Amarjit Kaypee,right-hand,,Indian,batsman,false,true,false,false,DC,retired,14,,false,false
Amit Mishra,right-hand,legbreak,Indian,bowler,false,false,false,false,DC,retired,152,,true,true
Anmolpreet Singh,right-hand,,Indian,batsman,false,false,false,false,MI,active,8,,false,false
Anrich Nortje,right-hand,pace,Overseas,bowler,false,false,false,true,DC,active,35,,true,true
Anukul Roy,left-hand,left-arm spin,Indian,all-rounder,false,false,false,false,RR,active,11,,false,false
Arjun Tendulkar,right-hand,left-arm pace,Indian,all-rounder,false,false,false,false,MI,active,5,,false,false
Arshdeep Singh,left-hand,pace,Indian,bowler,false,false,false,true,PBKS,active,71,,true,true
Arun Karthik,right-hand,,Indian,wk,false,true,false,false,RCB,retired,42,,false,false
Aryaman Birla,right-hand,offbreak,Indian,batsman,false,true,false,false,RR,retired,2,,false,false
Ashok Dinda,right-hand,pace,Indian,bowler,false,false,false,true,PBKS,retired,91,,true,true
Ashton Agar,left-hand,left-arm spin,Overseas,bowler,false,false,false,false,RCB,occasional,4,,false,false
Ashton Turner,right-hand,legbreak,Overseas,batsman,false,false,true,false,LSG,active,2,,false,false
Avesh Khan,right-hand,pace,Indian,bowler,false,false,false,true,RR,active,52,,true,true
Ayush Badoni,right-hand,legbreak,Indian,batsman,false,false,true,false,LSG,active,38,,true,true
B Akash,right-hand,pace,Indian,bowler,false,false,false,false,CSK,active,3,,false,false
Baba Aparajith,right-hand,offbreak,Indian,all-rounder,false,false,false,false,SRH,retired,2,,false,false
Baba Indrajith,right-hand,,Indian,wk,false,false,false,false,CSK,active,4,,false,false
Balaji Amin,right-hand,pace,Indian,bowler,false,false,false,false,RCB,retired,1,,false,false
Basil Thampi,right-hand,pace,Indian,bowler,false,false,false,true,GT,active,22,,false,false
Ben Cutting,right-hand,pace,Overseas,all-rounder,false,false,true,true,DC,retired,21,,false,false
Ben Dwarshuis,left-hand,pace,Overseas,bowler,false,false,false,true,RCB,active,2,,false,false
Ben Hilfenhaus,right-hand,pace,Overseas,bowler,false,false,false,true,CSK,retired,9,,false,false
Ben McDermott,right-hand,,Overseas,wk,false,true,false,false,DC,active,7,,false,false
Bharat Chipli,right-hand,,Indian,batsman,false,true,false,false,RCB,retired,3,,false,false
Bharathiraj Dorai,right-hand,pace,Indian,bowler,false,false,false,false,CSK,retired,1,,false,false
Bhavik Bakshi,right-hand,,Indian,batsman,false,true,false,false,RR,retired,1,,false,false
Bheema Shreyas Gowda,right-hand,,Indian,batsman,false,true,false,false,RCB,active,1,,false,false
Bhuvi Arjun,left-hand,pace,Indian,bowler,false,false,false,false,KKR,active,2,,false,false
Biprajit Das,left-hand,left-arm spin,Indian,bowler,false,false,false,false,RR,retired,1,,false,false
Bishnu Parbat,right-hand,,Indian,batsman,false,false,true,false,LSG,active,3,,false,false
